tweet_id,created_at,text,favorite_count
t1,2013-04-12T09:15:00+0000,我的手机号是 13800138000 有事儿打电话,12
t2,2014-07-23T11:02:00+0000,邮箱 a.li@gmail.com 常用来注册,5
t3,2015-02-18T14:30:00+0000,我家住北京市朝阳区幸福里 3 号,8
t4,2016-09-03T20:11:00+0000,最近确诊糖尿病 在吃药控制血糖,21
t5,2017-05-21T08:45:00+0000,周末在上海市静安区逛街 天气真好,33
t6,2018-11-09T17:20:00+0000,拍了张照片 https://t.co/abc123 photo,9
t7,2019-03-14T12:00:00+0000,今天的咖啡很好喝,2
t8,2020-06-30T19:05:00+0000,谢谢 @friend 的推荐 很棒,4
t9,2021-01-22T10:10:00+0000,读完一本书 收获不少,1
t10,2022-08-15T13:40:00+0000,对某项政策的看法 大家怎么看,15
t11,2013-12-01T22:00:00+0000,深夜还在加班 累,3
t12,2014-10-10T09:30:00+0000,新号码 13912345678 存一下,6
t13,2016-03-19T15:25:00+0000,今天定位在杭州西湖 风景不错,18
t14,2017-07-07T18:50:00+0000,录了段视频 https://t.co/vid999 video,7
t15,2019-05-05T11:11:00+0000,周末愉快,0
t16,2020-02-14T09:00:00+0000,情人节快乐,2
t17,2021-09-09T21:30:00+0000,最近有点抑郁 在努力调整,27
t18,2022-04-04T16:00:00+0000,和 @colleague 讨论方案,3
t19,2013-06-06T08:00:00+0000,注册用邮箱 b.wang@163.com,1
t20,2015-11-11T23:00:00+0000,在广州出差 两周,4
t21,2018-01-01T00:30:00+0000,跨年照片 https://t.co/nye888 gif,11
t22,2019-08-08T10:00:00+0000,健身打卡 day 30,5
t23,2020-12-25T18:00:00+0000,圣诞快乐 家人团聚,8
t24,2021-06-06T12:00:00+0000,周日散步,2
t25,2022-10-10T09:00:00+0000,新项目启动 加油,6
